angDist,col1,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.033619,783,2.11076042E8,034616.00+241123.4,56.566680000000005,24.18984,HD23479+ADS2755A=HII956,7.96,7.11,0.74,,,,,,,best,,,,1.0,,,,137020565669068338, 56.566690000, 24.189842000,0.051,0.051,90,1409359872,168,51530.215092590,3,11,8.1520,,,,114788,8.0740,,,,68,8.0710,,,,114788,8.0570,,,,114788,8.0550,,,,68
0.459071,783,2.11076042E8,034616.00+241123.4,56.566680000000005,24.18984,HD23479+ADS2755A=HII956,7.96,7.11,0.74,,,,,,,best,,,,1.0,,,,137020565666547994, 56.566766620, 24.189739910,0.001,0.001,90,1343750144,160,55954.860868060,2,3,,,,,0,,,,,114720,,,,,0,8.1915,0.3024,11.4358,0.2236,24,7.6921,0.0010,12.1995,0.0010,114744
1.181686,783,2.11076042E8,034616.00+241123.4,56.566680000000005,24.18984,HD23479+ADS2755A=HII956,7.96,7.11,0.74,,,,,,,best,,,,1.0,,,,137020565668858773, 56.566827410, 24.190139440,0.163,0.163,90,268959744,32,55565.334143520,0,4,,,,,0,8.0396,0.0010,13.1093,0.0010,24,,,,,0,9.0200,0.0010,,,24,9.3872,0.1957,,,24
1.887399,783,2.11076042E8,034616.00+241123.4,56.566680000000005,24.18984,HD23479+ADS2755A=HII956,7.96,7.11,0.74,,,,,,,best,,,,1.0,,,,137020565665767659, 56.566602990, 24.189320450,0.193,0.193,90,268959744,32,57030.259953700,0,3,,,,,0,,,,,0,7.5304,0.0010,12.9428,0.0010,24,7.6777,0.4045,,,24,,,,,0
0.829124,784,2.11080301E8,034627.28+241518.1,56.61366999999999,24.255029999999998,HD23489=HII1028,7.35,7.08,0.16,,,,,,,best,,,,1.0,,,,137100566136386160, 56.613754050, 24.254812810,0.001,0.001,90,1343750144,160,56036.793530090,5,12,7.5200,0.0010,10.8045,0.0010,114800,7.5453,0.0446,12.3769,0.0589,114808,7.9279,0.0010,11.2377,0.0010,114808,8.0245,0.0000,11.0041,0.0000,114808,6.8997,0.0558,9.9659,0.0130,114808
0.973115,784,2.11080301E8,034627.28+241518.1,56.61366999999999,24.255029999999998,HD23489=HII1028,7.35,7.08,0.16,,,,,,,best,,,,1.0,,,,137100566140016316, 56.613938840, 24.254916030,0.150,0.150,90,268959744,32,56179.496053240,0,5,,,,,0,,,,,0,7.5205,0.0010,11.0471,0.0010,24,7.5438,0.0010,11.4419,0.0010,16,7.7109,0.0362,10.4180,0.0727,24
1.526190,784,2.11080301E8,034627.28+241518.1,56.61366999999999,24.255029999999998,HD23489=HII1028,7.35,7.08,0.16,,,,,,,best,,,,1.0,,,,137100566141576814, 56.614094260, 24.255203510,0.167,0.167,90,268959744,32,56641.021030090,0,4,8.5754,0.0010,14.3785,0.0017,16,,,,,0,7.1450,0.1043,11.7559,0.2502,24,7.9629,0.0035,12.7608,0.0011,24,,,,,0
1.957281,784,2.11080301E8,034627.28+241518.1,56.61366999999999,24.255029999999998,HD23489=HII1028,7.35,7.08,0.16,,,,,,,best,,,,1.0,,,,137100566129706682, 56.613091030, 24.255160230,0.013,0.013,90,276897792,33,55461.406377310,0,3,,,,,0,,,,,0,,,,,0,13.1985,0.0012,12.6376,0.0010,16777240,12.2817,0.0145,,,16777240
0.694847,785,2.11094556E8,034632.02+242834.4,56.633430000000004,24.476229999999997,BPL106,,14.24,6.67,,,,,,,best,,,,1.0,,a,,137370566334951890, 56.633539050, 24.476064460,0.019,0.012,90,503635968,60,56079.916736110,10,67,21.6316,0.0786,21.3192,0.0834,115000,20.3751,0.0172,20.3527,0.0518,115000,18.2300,0.0043,18.2845,0.0086,115000,17.2040,0.0033,17.2571,0.0045,115000,16.6797,0.0041,16.7645,0.0110,115000
0.003298,786,2.11040918E8,034634.20+233726.4,56.64252,23.624010000000002,HII1084,,7.06,0.15,,,,,,,best,,,,1.0,,,,136340566425579151, 56.642521000, 23.624010000,0.049,0.049,90,1409359872,168,51135.397592590,3,12,8.1680,,,,68,8.0500,,,,68,8.0200,,,,114788,7.9800,,,,114788,8.0240,,,,114788
