,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
109,211908928.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,54.372593780853016,12.13968279959267,6.318232171403546e+31,3.507891220814927e+31,1.5714285714285714,1.1970425020263183e+32,740,0.5552013800144474
508,212078299.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,230.08269883631192,45.5245691788984,4.592977129707643e+31,2.55795907887816e+31,4.0,1.1991221937582942e+32,740,0.5569283291948336
3,211745306.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,142.74357940109303,31.792352759380734,4.221103556844312e+31,2.720093195134413e+31,3.25,1.2150147650392163e+32,740,0.6444033316178457
299,211970427.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,75.2073251778827,17.787563911085623,4.876810584955774e+31,3.271709309902055e+31,3.666666666666667,1.2306931763099841e+32,740,0.6708706956950072
489,212031039.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,212.95415164153223,49.30078539897131,4.251052135222464e+31,2.510567162584722e+31,1.7999999999999998,1.2370989804301692e+32,740,0.5905754817220891
254,211953038.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,177.96115827184843,34.3201678171579,1.5860175247148079e+32,8.219100614670361e+31,2.857142857142857,1.2445723729630059e+32,740,0.5182225597506113
456,212017183.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,146.03799123629503,32.31433298795175,4.318523374769759e+31,2.7766087640372934e+31,1.7999999999999998,1.274476192415848e+32,740,0.6429532789515879
163,211926825.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,52.973678921320285,12.940835594043259,3.4350722815430998e+31,2.3311946588716277e+31,3.666666666666667,1.2888654566896146e+32,740,0.6786450088393513
509,212078299.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,284.33814610653167,62.78803194268902,5.676040001164409e+31,3.291468959516515e+31,2.111111111111111,1.3224893857296677e+32,740,0.5798882599208758
536,212112752.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,92.86218343433049,19.537483390121338,6.021637892898098e+31,3.8824463750081905e+31,2.833333333333333,1.3252105851824173e+32,740,0.6447492267157307
151,211921927.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,101.48688355016253,22.939704477896317,9.044668926764952e+31,4.987291009492922e+31,3.0,1.390497633683066e+32,740,0.5514066960189717
56,211892240.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,62.98019230811124,13.520013674215186,7.318456772654773e+31,4.000296658849764e+31,2.7142857142857144,1.3931222079265187e+32,740,0.5466038514836584
430,212003893.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,28.533468895175005,7.860825626810687,3.315660861459988e+31,2.014024854471868e+31,4.666666666666667,1.3993424872308428e+32,740,0.6074278819894235
375,211987847.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,46.30100248223234,10.220813982474866,3.002383324567683e+31,1.9668736931451413e+31,3.75,1.4285178841726602e+32,740,0.6551041224652265
371,211987847.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,50.8869853973086,32.87928416308038,3.299760873493561e+31,3.5653276704992105e+31,3.75,1.4285178841726602e+32,740,1.080480618804503
33,211835162.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,119.78873167594622,27.37655678302307,2.39125717738441e+31,1.4051192104886662e+31,2.2,1.4511460317673392e+32,740,0.5876068972328626
534,212111862.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,345.956019333101,75.19986942919836,6.906073740955507e+31,3.9809016229763816e+31,3.75,1.4623010349881311e+32,740,0.5764348560844637
304,211970517.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,95.76407298027658,19.457284864757412,8.534643146836207e+31,4.510984990325719e+31,1.2666666666666666,1.467207340122218e+32,740,0.5285499244333304
36,211841991.0,2.656630928328716e+30,4.893695018525311e+29,3800.0,7000.0,3000.0,30.911555581104626,6.567465675013156,8.48270632335527e+31,4.604109124720822e+31,1.4166666666666665,1.5139666634832621e+32,740,0.5427641779893307
192,211938625.0,3.752590928470313e+30,6.912527945600352e+29,3870.0,7000.0,3000.0,32.11116268119575,7.12857104102306,1.0686072148684094e+32,5.611531762050078e+31,2.571428571428571,1.5162276378926467e+32,740,0.5251257603329109
9,211787610.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,87.8052357127343,95.22561136138657,7.825339189430341e+31,1.1032789491173903e+32,3.2,1.5680997921772557e+32,740,1.409880035114114
