,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
946,211070495.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1417.7303279413964,198.75761666483166,2.8301141308153296e+32,1.4129650349952754e+32,1.9166666666666667,6.091174040747525e+32,721,0.4992607964500051
693,211045147.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1362.7221166430475,262.79234153652,2.72030515442672e+32,1.501364266136378e+32,3.0,6.102992102514076e+32,721,0.5519102383397045
313,210996584.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,337.4360577336841,67.03613370798656,3.921091872787056e+32,2.0805163904321577e+32,1.6923076923076923,6.163553341382058e+32,721,0.5305961854327469
104,210877423.0,4.72423207991954e+32,1.0877946363067e+32,5170.0,7000.0,3000.0,10.583465667541002,2.5031621189744477,3.375731950345407e+32,1.8333953655017344e+32,3.875,6.197521921817376e+32,721,0.543110469809115
780,211053776.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,101.92973929780389,18.639178696369452,3.392055775267031e+32,1.648512317891513e+32,1.9000000000000001,6.2128557857159754e+32,721,0.48599210246232993
834,211059979.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,700.7488938827536,137.65942958275033,4.5439983605326716e+32,2.8663684364929872e+32,1.3846153846153846,6.2483906302543876e+32,721,0.6308031405532849
1176,211097402.0,7.6618072894805e+30,2.29345522251962e+30,4000.0,7000.0,3000.0,88.24985395586914,19.773614060720554,3.873130914454348e+32,1.9920749853039204e+32,1.2142857142857144,6.276433506886437e+32,721,0.5143319524443616
578,211030057.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,784.8552645058256,131.83684859355125,5.089385179631293e+32,3.065504547005702e+32,1.5833333333333335,6.300586194528504e+32,721,0.6023329810591751
1337,211125179.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,537.1440775064164,110.70893213972074,1.0722624846729753e+32,6.060139652103578e+31,2.5,6.311028458548071e+32,721,0.56517314918015
767,211053549.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,793.3882537141361,150.3703028094884,5.144717252662711e+32,3.2097183956166922e+32,2.0,6.311241072479024e+32,721,0.6238862580748171
501,211021014.0,2.65663092832871e+30,4.89369501852531e+29,3800.0,7000.0,3000.0,134.03579311867088,26.92751659942304,3.678191693913633e+32,1.9538636770427403e+32,1.2307692307692308,6.3883022138199244e+32,721,0.5312022427422236
405,211007577.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,336.8037419119652,58.702621305630316,3.0016473383810337e+32,1.4998145245027735e+32,3.8000000000000003,6.434896157689827e+32,721,0.4996638030474667
1189,211100748.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,358.9620195086966,68.14433342262645,4.171228963460815e+32,2.1764226962041316e+32,1.8333333333333335,6.4459763522346304e+32,721,0.5217701342384192
1364,211129321.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,518.420565137557,117.34613989770067,3.361692353160712e+32,2.221104269828157e+32,2.5,6.494788641323266e+32,721,0.6607101532476173
1196,211101564.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,111.85510102234946,26.973258023160195,3.722355654294432e+32,2.0259804127860172e+32,1.2857142857142856,6.499133883273347e+32,721,0.5442737344156438
806,211058468.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,567.0217341205105,141.88419316621705,3.676846089551001e+32,2.5171102268843627e+32,2.6666666666666665,6.508392789659468e+32,721,0.6845840607899202
733,211047718.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,242.10773383272942,53.24450454794171,2.8133527692516124e+32,1.552559064535638e+32,3.4,6.59516889731984e+32,721,0.5518536749121008
908,211066263.0,6.98765129706233e+31,2.574345873865e+31,4620.0,7000.0,3000.0,30.65897248221142,5.835764751273498,4.1064587925993346e+32,2.529502712815216e+32,1.1333333333333333,6.603385703399113e+32,721,0.6159815160872646
1169,211096385.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,488.54379792924,98.48968791894521,5.677001824958317e+32,3.028859000291881e+32,1.4615384615384615,6.787422947794767e+32,721,0.533531447352339
1092,211083672.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,1932.3165055637853,407.4126907077073,5.714098041261388e+32,3.6142893087250075e+32,1.8888888888888888,6.946913553731567e+32,721,0.6325214027876834
