angDist,col1,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.562322,15,KW341,211950703,1.22,9.93,9.05,3.82,0.2884,0,Y,0.00772,,,,M,Y,N,conf,0.00499,0.13437,K,,,,4.02,10.21,either very strong spot evolution or there's another period. There's a fourth peak around 1.,1,1,All,2M,Simbad,130.218848,19.483220000000003,131381302187930645,130.218772830, 19.483359200,0.016,0.016,90,268513280,32,55895.664317130,0,8,,,,,0,,,,,0,9.9781,0.0219,13.2789,0.0500,24,9.9539,0.0285,12.6651,0.0406,24,13.1801,0.0000,11.6806,0.0000,16777240
0.565589,15,KW341,211950703,1.22,9.93,9.05,3.82,0.2884,0,Y,0.00772,,,,M,Y,N,conf,0.00499,0.13437,K,,,,4.02,10.21,either very strong spot evolution or there's another period. There's a fourth peak around 1.,1,1,All,2M,Simbad,130.218848,19.483220000000003,131381302191190324,130.218693530, 19.483161040,0.001,0.001,90,268959744,32,55913.052037040,0,14,10.4567,0.0025,12.6183,0.0085,24,11.0406,0.0638,13.8820,0.1940,24,,,,,0,10.3638,0.0262,11.4861,0.0054,24,10.6563,0.1575,10.5325,0.0182,24
1.404331,15,KW341,211950703,1.22,9.93,9.05,3.82,0.2884,0,Y,0.00772,,,,M,Y,N,conf,0.00499,0.13437,K,,,,4.02,10.21,either very strong spot evolution or there's another period. There's a fourth peak around 1.,1,1,All,2M,Simbad,130.218848,19.483220000000003,131371302185879943,130.218550030, 19.482949330,0.040,0.040,90,268513280,32,55895.660763890,0,13,10.6374,0.0978,12.8995,0.0526,24,,,,,0,9.9270,0.0883,12.6079,0.0513,24,9.7741,0.0878,12.7077,0.0133,24,11.9790,0.3019,11.5556,0.0399,24
0.620705,16,KW304,211996831,1.03,11.3,9.83,4.37,0.4438,1,Y,0.0078,10.1182,0.1935,1,Y,M,N,,0.01133,0.34386,K,,,,8.79,11.28,peak splitting and neither matches the visible repeats in the lc very well,1,2,All,2M,Simbad,130.132701,20.201685,132241301326542521,130.132534090, 20.201612950,0.158,0.146,0,1409605632,168,56273.301423610,1,40,11.6420,,,,114788,11.2550,,,,16484,11.1490,,,,16484,11.1330,,,,16484,11.1190,,,,16484
0.916093,16,KW304,211996831,1.03,11.3,9.83,4.37,0.4438,1,Y,0.0078,10.1182,0.1935,1,Y,M,N,,0.01133,0.34386,K,,,,8.79,11.28,peak splitting and neither matches the visible repeats in the lc very well,1,2,All,2M,Simbad,130.132701,20.201685,132241301328282853,130.132837270, 20.201905000,0.023,0.023,90,302063616,36,55634.767754630,0,9,13.0069,0.0213,,,16778264,12.0330,0.1148,12.3278,0.0368,24,11.7690,0.1867,12.4054,0.0580,24,,,,,0,,,,,0
1.255169,16,KW304,211996831,1.03,11.3,9.83,4.37,0.4438,1,Y,0.0078,10.1182,0.1935,1,Y,M,N,,0.01133,0.34386,K,,,,8.79,11.28,peak splitting and neither matches the visible repeats in the lc very well,1,2,All,2M,Simbad,130.132701,20.201685,132241301324812172,130.132399350, 20.201481480,0.194,0.062,90,1376051200,164,56389.437847220,1,33,13.7390,0.0011,13.4103,0.0016,16778264,12.2394,0.0043,12.6395,0.0677,24,11.2884,0.1187,13.4914,0.0234,114744,13.2160,0.0011,12.4041,0.0010,16778264,11.1269,0.0010,11.1600,0.0010,280
1.289557,16,KW304,211996831,1.03,11.3,9.83,4.37,0.4438,1,Y,0.0078,10.1182,0.1935,1,Y,M,N,,0.01133,0.34386,K,,,,8.79,11.28,peak splitting and neither matches the visible repeats in the lc very well,1,2,All,2M,Simbad,130.132701,20.201685,132241301322522574,130.132322940, 20.201734290,0.029,0.029,90,1115762688,133,55761.370439810,4,6,14.1110,0.0397,13.3649,0.1112,16810040,,,,,32800,10.4608,0.0010,14.1466,0.0012,16440,12.0462,0.0010,11.7745,0.0010,16843824,,,,,114720
0.027159,17,KW309,211974702,1.02,11.41,9.91,8.49,0.3516,0,Y,0.00788,,,,M,Y,Y,,0.00317,0.11872,K,,,,8.43,11.45,visual double in SDSS; several undetected peaks,1,2,All,2M,Simbad,130.132026,19.850285999999997,131821301319240856,130.132026640, 19.850293520,0.123,0.089,90,604299264,72,55427.615995370,6,50,11.9160,,,,65572,11.4910,,,,32804,11.3190,,,,114724,11.2440,,,,114724,11.2200,,,,98340
0.873312,17,KW309,211974702,1.02,11.41,9.91,8.49,0.3516,0,Y,0.00788,,,,M,Y,Y,,0.00317,0.11872,K,,,,8.43,11.45,visual double in SDSS; several undetected peaks,1,2,All,2M,Simbad,130.132026,19.850285999999997,131821301324440994,130.132282160, 19.850314220,0.015,0.015,90,268959744,32,55930.154050930,0,4,,,,,0,12.5874,0.1430,12.5087,0.1625,24,13.1312,0.0000,12.3364,0.0010,16777240,,,,,0,,,,,0
0.423891,18,KW335,211979334,1.1,10.85,9.51,7.93,0.4857,0,N,0.0082,,,,N,Y,Y,,0.02467,1.08504,D,,7.43,,7.91,10.9,,2,1,All,2M,Simbad,130.20134099999999,19.921913,131901302012146801,130.201230760, 19.921857120,0.191,0.107,0,1141170176,136,55649.193518520,10,66,11.3640,,,,32804,10.9890,,,,98340,10.8430,,,,32804,10.7810,,,,32804,10.7670,,,,98340
1.945139,18,KW335,211979334,1.1,10.85,9.51,7.93,0.4857,0,N,0.0082,,,,N,Y,Y,,0.02467,1.08504,D,,7.43,,7.91,10.9,,2,1,All,2M,Simbad,130.20134099999999,19.921913,131901302010856268,130.201070490, 19.921436280,0.015,0.015,90,1073819648,128,55522.555844910,0,6,12.1367,0.0010,12.5460,0.0010,16440,12.6546,0.0010,12.7023,0.0010,16440,11.6544,0.3894,13.4128,0.2560,24,12.4130,0.0012,11.7433,0.0010,56,14.1442,0.0032,12.5214,0.0033,16777272
1.406869,19,KW367,211975006,1.24,10.47,8.94,3.07,0.8413,0,Y,0.00872,,,,N,Y,Y,conf,0.03469,1.53405,K,,,,6.04,10.49,,1,2,All,2M,Simbad,130.290003,19.855179999999997,131821302900047100,130.290273110, 19.855476950,0.009,0.009,90,302067712,36,55977.979675930,0,19,12.2013,0.3490,12.5041,0.0010,24,10.5441,0.0899,12.1913,0.0524,24,10.2582,0.0254,13.1941,0.1239,24,14.0259,0.0349,12.4037,0.1607,16778264,13.1243,0.0017,11.5989,0.0012,16777488
0.349608,20,KW368,211972627,1.04,11.29,9.75,9.05,0.0846,1,N,0.00881,,,,N,M,M,conf,0.01775,0.58333,K,,,,9.01,11.35,strong scatter in noise,1,2,All,2M,Simbad,130.292938,19.818614,131781302930533387,130.292921800, 19.818709910,0.179,0.179,90,536948736,64,57006.477245370,1,7,,,,,56,,,,,56,11.5345,0.0172,,,56,11.3500,0.2274,13.0440,0.1460,16440,,,,,16416
0.558007,20,KW368,211972627,1.04,11.29,9.75,9.05,0.0846,1,N,0.00881,,,,N,M,M,conf,0.01775,0.58333,K,,,,9.01,11.35,strong scatter in noise,1,2,All,2M,Simbad,130.292938,19.818614,131781302928192831,130.292783900, 19.818559150,0.087,0.063,0,1141170176,136,55749.921215280,5,74,11.7950,,,,114724,11.3470,,,,4,11.1890,,,,114724,11.1280,,,,98340,11.1000,,,,114724
1.187188,20,KW368,211972627,1.04,11.29,9.75,9.05,0.0846,1,N,0.00881,,,,N,M,M,conf,0.01775,0.58333,K,,,,9.01,11.35,strong scatter in noise,1,2,All,2M,Simbad,130.292938,19.818614,131781302930382542,130.293014810, 19.818292240,0.023,0.023,90,302067712,36,55306.271122690,0,3,,,,,0,,,,,0,12.8542,0.0010,13.1888,0.0010,24,14.1615,0.0022,14.3616,0.0035,24,14.9295,0.0172,13.4454,0.0056,16777744
