K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
212003893,KTWO212003893-C05,5,STAR,7,08 36 56.585,+20 19 10.13,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5020_GO5024_GO5032_GO5048_GO5095_GO5097,7.700,7.600,4.000,7.300,,,,,,,,,,,,,,,,,12.068,0.021,11.438,0.023,11.229,0.019,14.257,JHK,,,,552-044015,08365659+2019101,,2015-10-30 07:57:23,1.000,0.000,0.854,816.450,808.150,789.700,14,3,47,,,14
212004731,KTWO212004731-C05,5,STAR,7,08 43 15.719,+20 20 01.49,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5029_GO5033_GO5060_GO5095_GO5104,-8.900,1.900,-16.200,2.100,,,,,12.690,0.307,12.165,0.241,12.108,0.050,11.763,0.050,11.649,0.080,,,10.921,0.022,10.692,0.022,10.592,0.018,11.787,gri,,1399-128-1,,552-044297,08431571+2020017,,2015-10-30 05:48:46,1.000,1.000e-4,0.970,64.944,61.714,62.855,14,4,48,,,14
212004774,KTWO212004774-C05,5,STAR,7,08 42 50.522,+20 20 03.97,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-33.000,4.000,-15.000,4.000,,,23.095,0.452,,,,,20.671,0.026,19.141,0.012,17.441,0.006,16.525,0.009,14.957,0.042,14.396,0.055,14.069,0.056,18.410,gri,,,5045-301-3-0132-0362,,08425052+2020039,,2015-10-30 08:20:44,0.833,0.167,0.457,9603.519,8610.239,7491.635,14,4,48,,,14
212004983,KTWO212004983-C05,5,STAR,7,08 43 00.548,+20 20 16.08,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5064_GO5095_GO5104,-38.400,1.000,-15.700,0.800,,,,,12.147,0.060,11.384,0.030,11.730,0.030,11.188,0.050,11.011,0.070,,,10.185,0.023,9.853,0.021,9.774,0.020,11.226,gri,,,,552-044289,08430055+2020161,,2015-10-30 08:31:45,1.000,0.000,1.000,105.516,93.236,85.994,14,4,48,,,14
212005017,KTWO212005017-C05,5,STAR,7,08 40 37.888,+20 20 17.84,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5020_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-37.200,3.800,-11.600,4.300,,,,,16.477,0.060,15.048,0.030,15.825,0.010,14.466,0.030,13.730,0.010,,,12.186,0.022,11.543,0.022,11.367,0.020,14.358,gri,,,,552-044201,08403789+2020178,,2015-10-30 06:01:27,1.000,0.000,0.773,451.356,379.753,304.510,14,3,47,,,14
212005204,KTWO212005204-C05,5,STAR,7,08 44 34.498,+20 20 29.54,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,,,,,,,,,,,,,,,,,,,,,14.095,0.028,13.506,0.034,13.255,0.033,16.287,JHK,,,,,08443449+2020295,,2015-10-30 09:00:14,1.000,0.000,0.846,1290.586,971.584,767.100,14,4,48,,,14
212005503,KTWO212005503-C05,5,STAR,7,08 41 51.914,+20 20 47.84,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048_GO5095,-33.000,4.900,-15.600,4.700,,,,,,,,,,,,,,,,,13.048,0.023,12.388,0.026,12.192,0.024,15.293,JHK,,,5038-301-4-0031-0128,552-044245,08415192+2020479,,2015-10-30 06:23:59,1.000,0.000,0.865,778.211,624.328,497.328,14,4,48,,,14
212005504,KTWO212005504-C05,5,STAR,7,08 41 20.861,+20 20 47.90,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5032_GO5048_GO5095,-40.200,4.800,-7.900,5.300,,,,,,,,,,,,,,,,,13.161,0.021,12.515,0.026,12.270,0.021,15.514,JHK,,,,552-044226,08412086+2020476,,2015-10-30 06:06:48,1.000,0.000,0.670,807.783,716.897,586.887,14,4,48,,,14
212005551,KTWO212005551-C05,5,STAR,7,08 40 10.607,+20 20 50.52,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.382,0.049,14.727,0.063,14.407,0.080,17.913,JHK,,,,,08401060+2020505,,2015-10-30 09:14:10,0.880,0.120,0.851,7966.687,6038.741,4395.064,14,3,47,,,14
212005623,KTWO212005623-C05,5,STAR,7,08 39 06.872,+20 20 54.29,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048_GO5095,-39.100,4.000,-11.700,4.000,,,,,,,,,,,,,,,,,12.804,0.022,12.137,0.021,11.913,0.022,15.157,JHK,,,5045-301-4-0127-0216,552-044123,08390688+2020542,,2015-10-30 09:06:27,1.000,0.000,0.820,534.442,488.818,420.288,14,3,47,,,14
212006108,KTWO212006108-C05,5,STAR,7,08 38 25.372,+20 21 21.03,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.934,0.043,14.283,0.043,14.027,0.050,17.332,JHK,,,,,08382537+2021210,,2015-10-30 09:41:06,1.000,0.000,0.753,3058.277,2572.544,2174.686,14,3,47,,,14
212006227,KTWO212006227-C05,5,STAR,7,08 45 04.223,+20 21 27.86,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5086_GO5101_GO5104,-39.400,1.100,-14.700,1.200,,,,,10.925,0.057,10.297,0.046,10.597,0.020,10.214,0.080,10.049,0.070,,,9.389,0.020,9.171,0.024,9.130,0.019,10.213,gri,,1399-101-1,,552-044376,08450422+2021278,,2015-10-30 09:32:39,1.000,0.000,1.000,109.370,108.359,108.756,14,4,48,,,14
212006723,KTWO212006723-C05,5,STAR,7,08 43 50.851,+20 21 56.74,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-43.500,3.500,-10.700,3.800,,,,,17.009,0.150,15.462,0.040,16.367,0.010,14.986,0.090,14.068,0.110,,,12.404,0.025,11.759,0.022,11.511,0.022,14.758,gri,,,5045-301-3-0134-0011,552-044321,08435085+2021567,,2015-10-30 05:08:32,0.982,0.018,0.896,352.546,298.166,257.648,14,4,48,,,14
212006725,KTWO212006725-C05,5,STAR,7,08 25 22.235,+20 21 56.76,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5004_GO5018_GO5024_GO5026_GO5037_GO5048_GO5081,,,,,,,,,,,,,,,,,,,,,15.249,0.048,14.513,0.053,14.328,0.055,17.683,JHK,,,,,08252223+2021567,,2015-10-30 07:34:58,0.998,0.002,0.685,5808.511,4552.500,3573.281,19,4,68,,,14
212007145,KTWO212007145-C05,5,STAR,7,08 40 01.348,+20 22 22.60,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-24.000,4.000,-19.000,4.000,,,23.214,0.455,,,,,20.796,0.030,19.317,0.014,17.583,0.007,16.627,0.010,15.061,0.039,14.424,0.048,14.210,0.066,18.547,gri,,,5045-301-4-0128-0372,,08400134+2022225,,2015-10-30 08:32:07,0.810,0.190,0.725,6550.142,5368.187,4096.361,14,3,47,,,14
