,Unnamed: 0,EPIC,Tmax_x,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs,nobin,clr,age,Tmax_y,saturated1
627,220,211089510,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2742546704491717,0.13373345671562142,482,485,32.95168728538208,0.1942337308446267,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
626,127,211056608,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2810940949794771,0.13291781616920814,732,735,32.948507268710856,0.192503146945904,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
625,47,211004548,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2878274776384455,0.13199373055482444,1019,1022,32.94733837712979,0.19055466401347854,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
624,98,211038810,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2944580565374588,0.13068705901390446,1408,1421,32.93641869995591,0.1878213201785397,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
623,37,210978953,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.3009889236964165,0.13092971668820685,1340,1343,32.933644137107294,0.18832700109043696,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
643,193,211079106,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.14701197893130755,0.14768771224010924,1154,1164,33.0624972317992,0.22550992644586465,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
644,187,211077682,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.13767195267716414,0.1499124716546829,2781,2783,33.079033301809524,0.2308094964952017,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
645,129,211056628,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.12812663477093378,0.14859654530572766,1674,1677,33.08576447577889,0.2276637629187901,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
646,54,211006328,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.11836679748177747,0.14988659023201345,1711,1715,33.10337178679039,0.23074731429548254,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
666,189,211077833,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,-0.14487463729280406,0.17455056628359245,1826,1830,33.295742520270444,0.29644044272303605,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
