,Unnamed: 0,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,age,saturated
375,701,211039840,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2537.1827112810643,430.75789287769027,5.064797234099739e+32,2.678490652310233e+32,1.875,6.900991528597748e+32,1353.0,1365.0,712,0.125,False
376,750,211046948,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2131.9094586260776,426.3137572206573,4.255779089692954e+32,2.379127776199722e+32,1.7999999999999998,6.926502847666942e+32,460.0,464.0,712,0.125,False
377,1473,211129308,2.1593906887309408e+31,7.706880255224127e+30,4230,7000.0,3000.0,52.447784037351006,10.898411473482566,3.993048475520905e+32,2.4783980510732467e+32,1.5,6.942537313297971e+32,111.0,114.0,712,0.125,True
378,732,211045643,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,1145.2758915628779,247.14476482950548,2.286232734472625e+32,1.3142672307525923e+32,1.6666666666666667,6.945183601613448e+32,1763.0,1765.0,712,0.125,False
379,856,211058468,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2228.2998096317137,309.4736441591516,4.4481962857413825e+32,2.2149787571338924e+32,1.5,6.956783301419206e+32,3010.0,3027.0,712,0.125,False
380,1322,211103222,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,999.5092045108777,198.30047843214072,6.3715624648897846e+32,4.032424145484137e+32,1.7777777777777777,7.048698170491775e+32,1424.0,1428.0,712,0.125,False
381,1009,211070577,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,1636.6270636138595,301.36675188943843,3.267082101808471e+32,1.774696934743019e+32,2.0,7.11042277516263e+32,2503.0,2514.0,712,0.125,False
382,20,210784223,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,118.47041544171324,43.02156710397876,3.942502547988036e+32,2.626774939866899e+32,1.4,7.193280508639446e+32,521.0,524.0,712,0.125,True
383,1519,211140995,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,600.3425013367805,117.02763161484836,3.826998020961043e+32,2.4087711383965164e+32,3.125,7.291476986358107e+32,1014.0,1020.0,712,0.125,False
384,242,210966931,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,517.0427253107838,88.36724248856666,3.295987677218691e+32,1.9953563537548e+32,4.285714285714286,7.360223804561324e+32,1164.0,1176.0,712,0.125,False
