,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
25,211921927,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.20753637247591827,0.14134872310626512,2864.0,2866.0,33.08388576489936,0.2108974017365859,3.4447382551923174e+34,132,71,21.703594760057797
1,211827220,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.19494724516789774,0.14386368346166156,1262.0,1265.0,33.10186001715415,0.21661072616271526,3.4447382551923174e+34,132,71,21.703594760057797
95,211987847,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.18198226800353012,0.14657939404601317,306.0,308.0,33.13816373896416,0.22290374697963844,3.4447382551923174e+34,132,71,21.703594760057797
126,212019656,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.16861830644554865,0.14933410480595755,3398.0,3401.0,33.16471874904019,0.22942292350004578,3.4447382551923174e+34,132,71,21.703594760057797
47,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.15483002195991524,0.15223724754687096,2274.0,2276.0,33.168087450175925,0.23644693265728822,3.4447382551923174e+34,132,71,21.703594760057797
81,211978983,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.14058958284530498,0.15460179040812871,2432.0,2434.0,33.172256993211114,0.24228853115763482,3.4447382551923174e+34,132,71,21.703594760057797
118,212014492,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.12586632602459868,0.15769477263654297,615.0,617.0,33.18781886167899,0.250099679318029,3.4447382551923174e+34,132,71,21.703594760057797
111,212011416,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.11062635946786181,0.16078137946705917,2188.0,2190.0,33.197317112141754,0.2580945470638911,3.4447382551923174e+34,132,71,21.703594760057797
73,211970517,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.09483209228462997,0.15716595088130014,1626.0,1634.0,33.20459029508214,0.2487502054793871,3.4447382551923174e+34,132,71,21.703594760057797
71,211958562,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.07844167609646058,0.16153037993793573,1200.0,1204.0,33.22101265082687,0.26006568841703515,3.4447382551923174e+34,132,71,21.703594760057797
124,212019656,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.06140833679768032,0.16464220570179555,2228.0,2238.0,33.233234512647996,0.26838952321913845,3.4447382551923174e+34,132,71,21.703594760057797
42,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.04367956983724852,0.16817146372886294,1106.0,1109.0,33.23459144850871,0.2781019583563098,3.4447382551923174e+34,132,71,21.703594760057797
45,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.025196164143235444,0.17100329015944316,1711.0,1714.0,33.23459144850871,0.2861142495021485,3.4447382551923174e+34,132,71,21.703594760057797
22,211915940,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.005891008947848775,0.17399464732649284,2569.0,2570.0,33.26876152310203,0.2948002148375377,3.4447382551923174e+34,132,71,21.703594760057797
41,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.014312377140438093,0.17611116758504175,863.0,865.0,33.29630351777706,0.30108972672842005,3.4447382551923174e+34,132,71,21.703594760057797
119,212014492,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.03550167621037614,0.18092724729255205,2230.0,2232.0,33.299550708295854,0.31586970711617635,3.4447382551923174e+34,132,71,21.703594760057797
43,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.057778070921528535,0.18679779313277023,1115.0,1118.0,33.29956142081246,0.3348306529847701,3.4447382551923174e+34,132,71,21.703594760057797
54,211945445,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.08125916677105138,0.19252152173330694,836.0,842.0,33.31889674166526,0.35441586567457906,3.4447382551923174e+34,132,71,21.703594760057797
80,211978983,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.10608275049608351,0.19985349002464425,1684.0,1686.0,33.34246180610522,0.38128121799443426,3.4447382551923174e+34,132,71,21.703594760057797
19,211912940,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.1324116892184326,0.20633140208179124,3057.0,3064.0,33.39488689898051,0.4069000415778615,3.4447382551923174e+34,132,71,21.703594760057797
37,211939094,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.16044041281867605,0.21399245820768353,2189.0,2194.0,33.39575549516584,0.43983992784520054,3.4447382551923174e+34,132,71,21.703594760057797
129,212027909,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.19040363619611944,0.21942751351653844,1101.0,1104.0,33.45741102168207,0.4652135073647772,3.4447382551923174e+34,132,71,21.703594760057797
36,211939094,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.22258831956752068,0.22183176999214527,2082.0,2102.0,33.53814839287796,0.4770363665549727,3.4447382551923174e+34,132,71,21.703594760057797
49,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.2573504258267325,0.2296495114244157,3321.0,3323.0,33.55073194733339,0.5183763416299418,3.4447382551923174e+34,132,71,21.703594760057797
83,211980019,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.2951389867161325,0.2393674187218311,957.0,960.0,33.55703797432806,0.5771992009059589,3.4447382551923174e+34,132,71,21.703594760057797
48,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.3365316718743574,0.25444890510812535,2604.0,2606.0,33.56889210836217,0.6916270561650983,3.4447382551923174e+34,132,71,21.703594760057797
136,212171351,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.3822891624350325,0.2725591003060558,1244.0,1256.0,33.60112448266824,0.8965108719338034,3.4447382551923174e+34,132,71,21.703594760057797
109,212007343,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.43344168488241386,0.2922295216315163,270.0,272.0,33.65658924341474,1.3966410564008527,3.4447382551923174e+34,132,71,21.703594760057797
91,211982734,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.4914336318601006,0.31844603352928147,2266.0,2275.0,33.67829020268024,3.146128035678238,3.4447382551923174e+34,132,71,21.703594760057797
79,211978983,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.5583804214907138,0.3451272887163481,1275.0,1289.0,33.806426884111765,3.079181246047625,3.4447382551923174e+34,132,71,21.703594760057797
90,211982734,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.6375616675383385,0.3844645833488728,2015.0,2023.0,33.86256349342089,3.0,3.4447382551923174e+34,132,71,21.703594760057797
122,212018862,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.734471680546395,0.4136086137543088,2797.0,2805.0,33.87882381711369,2.9030899869919438,3.4447382551923174e+34,132,71,21.703594760057797
34,211929980,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-0.859410417154695,0.42347142292304113,1045.0,1046.0,33.9420522144992,2.778151250383644,3.4447382551923174e+34,132,71,21.703594760057797
101,211992053,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-1.0355016762103761,0.46314147708275427,1201.0,1208.0,34.20387047441345,2.6020599913279625,3.4447382551923174e+34,132,71,21.703594760057797
103,211994910,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,-1.3365316718743574,0.5440680443502757,2186.0,2191.0,34.53715622808856,2.3010299956639813,3.4447382551923174e+34,132,71,21.703594760057797
