,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
113,211949413,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,495.56508490228407,88.25459106947001,1.067510663260779e+33,6.554111664485133e+32,3.666666666666667,2.5434916816818965e+33,2826.0,2830.0,164,26.940501178796872
57,211913532,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,2245.553496542707,399.19189628890666,4.8372098348182434e+33,2.9683214402972754e+33,1.1,2.7078035301994944e+33,996.0,1008.0,164,26.940501178796872
39,211903302,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,1065.8885300139648,191.36367863096743,2.2960604092227883e+33,1.4130134690809124e+33,1.4166666666666665,2.816067293438736e+33,326.0,330.0,164,26.940501178796872
163,211988700,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,894.0668742120266,159.65688339199414,1.9259345562606907e+33,1.1833849671239537e+33,2.0,2.8481977672856103e+33,455.0,458.0,164,26.940501178796872
19,211845034,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,849.6720931002637,152.25837604325002,1.8303025118052588e+33,1.1257641728971701e+33,4.5,3.9564935143583723e+33,1262.0,1264.0,164,26.940501178796872
112,211949413,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,981.7540659575518,178.55067238778707,2.114823997973878e+33,1.3064164866330843e+33,4.714285714285714,4.119684726201381e+33,975.0,977.0,164,26.940501178796872
191,212017838,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,7615.665392202953,1380.0029253019295,1.6405118644720048e+34,1.0123257451903594e+34,1.8571428571428572,4.1420784258469364e+33,3416.0,3417.0,164,26.940501178796872
100,211945329,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,2725.2941877556764,475.49734912319127,2.675523472429029e+33,1.59755925504654e+33,1.8333333333333335,4.7013423758243586e+33,1239.0,1246.0,164,26.940501178796872
38,211901847,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1423.6876816570646,251.88849327559817,1.3976875695824992e+33,8.379874306202667e+32,3.2,4.7515548376583937e+33,2924.0,2927.0,164,26.940501178796872
82,211929493,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,1238.961932587661,221.4000018373023,2.668882685050951e+33,1.6402188592615927e+33,3.25,9.642193994305585e+33,436.0,442.0,164,26.940501178796872
51,211908029,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,6891.73306936666,1242.7965418351837,6.765872717759936e+33,4.079533422689566e+33,2.0,1.129095784467645e+34,1204.0,1210.0,164,26.940501178796872
90,211935558,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,3558.5485759791973,642.2927430944478,7.66556940010877e+33,4.7247984247619197e+33,2.888888888888889,1.3754051745241034e+34,1149.0,1150.0,164,26.940501178796872
140,211973228,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,4140.826596222755,751.3166361509365,8.919870832008354e+33,5.506366450199767e+33,2.1666666666666665,1.4958310415191962e+34,2838.0,2846.0,164,26.940501178796872
