,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
103,211003744,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,219.83074508596593,38.26166530617801,4.721353404966105e+32,2.8789664392413754e+32,1.7,9.602129499177358e+32,1158.0,1160.0,195,30.864210206099326
285,211045994,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,496.5398838428778,90.50104891733106,4.874718187077071e+32,2.94866518863672e+32,3.5,9.645078698544972e+32,1894.0,1896.0,195,30.864210206099326
34,210886447,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,387.493350774496,69.45684366169473,3.8041674915878255e+32,2.2896238187896027e+32,2.0,9.691251334738065e+32,1893.0,1896.0,195,30.864210206099326
398,211074858,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,166.50178396926643,140.42107700348512,3.575995543156682e+32,4.574005483895776e+32,1.875,9.780415038739901e+32,185.0,190.0,195,30.864210206099326
373,211064559,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,378.0963320861839,59.22130426037821,3.711913436284761e+32,2.150148732418805e+32,2.5,9.968245940347643e+32,2461.0,2467.0,195,30.864210206099326
340,211059754,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,568.1443818420427,102.0151469473149,5.577686387680881e+32,3.358796017580891e+32,4.5,9.98734331584384e+32,591.0,593.0,195,30.864210206099326
412,211078239,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,215.19622191206668,39.03588632577451,4.621816728424674e+32,2.8522239259197852e+32,4.666666666666667,9.988148299813044e+32,1440.0,1442.0,195,30.864210206099326
93,210995008,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,525.5445011702226,94.82486992433451,5.1594673888945805e+32,3.1114561657782403e+32,2.444444444444444,1.0085721397064298e+33,2653.0,2655.0,195,30.864210206099326
248,211032382,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,2919.8155664941437,501.26102921000853,2.8664924023310965e+33,1.7035608533624488e+33,2.4,1.0156611876960003e+33,751.0,760.0,195,30.864210206099326
260,211037012,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,254.28394762084665,65.80043446274726,5.461312435885254e+32,3.7928413864803384e+32,2.111111111111111,1.0168136518797334e+33,2843.0,2846.0,195,30.864210206099326
84,210982234,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,217.96538649274095,206.02880406345318,4.681290686977493e+32,6.464681954260549e+32,2.0,1.0471236010016085e+33,3013.0,3018.0,195,30.864210206099326
24,210882573,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,629.4234338604014,100.93878020671352,6.179285814193938e+32,3.602480458171791e+32,1.5454545454545454,1.0503267840953267e+33,1319.0,1329.0,195,30.864210206099326
489,211095292,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,292.95032002272166,48.009086830473294,6.291758645426553e+32,3.772578951519857e+32,3.5999999999999996,1.0603761517317371e+33,1294.0,1301.0,195,30.864210206099326
539,211132111,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,437.6682865208497,78.47289657077661,4.2967536458464226e+32,2.586317487556335e+32,2.5,1.0636696373496443e+33,487.0,489.0,195,30.864210206099326
145,211010854,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,257.7096267401978,46.80973321189423,2.5300320182392636e+32,1.5288059151372306e+32,4.666666666666667,1.0715027137675155e+33,655.0,657.0,195,30.864210206099326
508,211103222,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,223.9736227927465,42.18181047912569,4.810330903357504e+32,3.0019299917970347e+32,1.3333333333333333,1.071751086637658e+33,815.0,817.0,195,30.864210206099326
98,211003154,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,528.0780186856776,96.07099647413307,5.184339880131911e+32,3.134201617814747e+32,2.75,1.0724034558286844e+33,2708.0,2710.0,195,30.864210206099326
358,211061316,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,267.6474176846675,51.32303229870586,5.748322630311471e+32,3.6069645740293256e+32,2.125,1.080135617941743e+33,474.0,476.0,195,30.864210206099326
399,211074858,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,211.69149122757528,36.658849883928525,4.546544854400675e+32,2.7683739446099148e+32,4.0,1.0837913314560921e+33,199.0,203.0,195,30.864210206099326
51,210940839,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,594.9572776729576,108.1310508270268,5.840918637915434e+32,3.530086921752902e+32,2.0,1.0860517004958273e+33,245.0,248.0,195,30.864210206099326
480,211094777,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,477.3368658357004,86.62915701020853,4.6861949602984196e+32,2.8309785641674598e+32,1.6666666666666667,1.0960466328957305e+33,959.0,961.0,195,30.864210206099326
