,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
138,211005924,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7543182173940999,0.07696179574206496,2069.0,2072.0,33.08471002064395,0.09360196079309624,2.137683048810364e+34,198,269,31.340201536238503
42,210927331,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7518714814470122,0.07714816577691508,238.0,241.0,33.08595189066773,0.09387812736389423,2.137683048810364e+34,198,269,31.340201536238503
310,211047718,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7494108828993558,0.0773765852067938,3174.0,3176.0,33.08598847019939,0.09421700505459585,2.137683048810364e+34,198,269,31.340201536238503
461,211082363,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7469362637715002,0.07743102089546028,593.0,595.0,33.087563893240706,0.09429782991100755,2.137683048810364e+34,198,269,31.340201536238503
528,211105839,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7444474633678053,0.07734777407175875,693.0,698.0,33.08820421603786,0.09417423713069972,2.137683048810364e+34,198,269,31.340201536238503
320,211051985,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7419443182140013,0.07745076887803126,1141.0,1143.0,33.09549461852041,0.09432715748396125,2.137683048810364e+34,198,269,31.340201536238503
120,211004687,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7394266619927545,0.07753208597388195,2153.0,2155.0,33.097476040690076,0.09444795578972265,2.137683048810364e+34,198,269,31.340201536238503
295,211046948,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7368943254773594,0.0776991322111229,1153.0,1160.0,33.10353166903291,0.09469628306467026,2.137683048810364e+34,198,269,31.340201536238503
553,211132233,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7343471364634799,0.077963076148579,644.0,646.0,33.104828346900184,0.09508914097224386,2.137683048810364e+34,198,269,31.340201536238503
55,210940839,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7317849196988793,0.07828109584618348,1812.0,1814.0,33.10494410833969,0.09556327628613825,2.137683048810364e+34,198,269,31.340201536238503
561,211139534,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7292074968110687,0.07854351097946344,850.0,853.0,33.108380914846705,0.09595516286634309,2.137683048810364e+34,198,269,31.340201536238503
375,211063235,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7266146862327891,0.07826055136360965,1353.0,1355.0,33.111183082751786,0.09553262039256749,2.137683048810364e+34,198,269,31.340201536238503
388,211065426,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7240063031252608,0.07861724042298901,667.0,675.0,33.11260240583352,0.09606537555579431,2.137683048810364e+34,198,269,31.340201536238503
423,211078239,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7213821592991121,0.07875240396743832,2749.0,2752.0,33.11825694776694,0.09626754282793248,2.137683048810364e+34,198,269,31.340201536238503
575,211156183,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7187420631329038,0.07888790629560027,2616.0,2618.0,33.121894795011244,0.09647037454576957,2.137683048810364e+34,198,269,31.340201536238503
305,211047718,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7160858194891635,0.0790633283872193,1435.0,1439.0,33.12497104062768,0.09673319652659851,2.137683048810364e+34,198,269,31.340201536238503
504,211098921,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7134132296278366,0.07914600603995803,1443.0,1457.0,33.12931453534003,0.09685715835750797,2.137683048810364e+34,198,269,31.340201536238503
68,210967901,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7107240911170554,0.07944207255639402,599.0,615.0,33.13814652827973,0.09730154671775049,2.137683048810364e+34,198,269,31.340201536238503
234,211029542,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7080181977411308,0.07971845015359236,2851.0,2859.0,33.13975045185042,0.09771706716127859,2.137683048810364e+34,198,269,31.340201536238503
151,211010854,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7052953394056571,0.08011072760170945,321.0,324.0,33.14437719764277,0.0983079759278449,2.137683048810364e+34,198,269,31.340201536238503
258,211032382,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7025553020396285,0.08020948990535981,1974.0,1976.0,33.14586044066152,0.0984569579229504,2.137683048810364e+34,198,269,31.340201536238503
314,211047990,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6997978674944394,0.0805658719007103,1512.0,1514.0,33.14637927989178,0.09899526430838446,2.137683048810364e+34,198,269,31.340201536238503
285,211044929,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6970228134396674,0.08096984040739308,2230.0,2237.0,33.14679091694871,0.09960679234544356,2.137683048810364e+34,198,269,31.340201536238503
419,211078145,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6942299132554972,0.08132395048887187,1521.0,1524.0,33.147067088020854,0.1001440227438124,2.137683048810364e+34,198,269,31.340201536238503
323,211051985,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6914189359216689,0.08153511887463027,3126.0,3133.0,33.15286523500967,0.10046491770622268,2.137683048810364e+34,198,269,31.340201536238503
306,211047718,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6885896459028047,0.08181925773258758,1785.0,1787.0,33.15407987347067,0.10089732093480297,2.137683048810364e+34,198,269,31.340201536238503
476,211092628,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6857418030299784,0.08185147909172619,3103.0,3109.0,33.15572382005824,0.1009464005427172,2.137683048810364e+34,198,269,31.340201536238503
161,211012609,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6828751623783751,0.08226027645342215,1094.0,1104.0,33.15800028543604,0.1015698799028315,2.137683048810364e+34,198,269,31.340201536238503
493,211095218,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6799894741408872,0.08255238095879447,1177.0,1179.0,33.15852627757091,0.10201629375280952,2.137683048810364e+34,198,269,31.340201536238503
273,211039840,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6770844834974798,0.0825007674196061,1050.0,1063.0,33.158900827801716,0.10193735922044489,2.137683048810364e+34,198,269,31.340201536238503
15,210881103,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6741599304801633,0.08273969697056982,1225.0,1231.0,33.16551039725705,0.10230296264299898,2.137683048810364e+34,198,269,31.340201536238503
17,210881103,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6712155498333818,0.08253878514385793,1603.0,1605.0,33.16551039725705,0.10199549885819481,2.137683048810364e+34,198,269,31.340201536238503
350,211059767,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.668251070869643,0.0823281348583671,639.0,642.0,33.16995857242829,0.10167351802875757,2.137683048810364e+34,198,269,31.340201536238503
298,211046948,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.6652662173201807,0.08268239913883546,2345.0,2347.0,33.18031654653046,0.10221524068091936,2.137683048810364e+34,198,269,31.340201536238503
