EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K
211078274,0.781892,21.3071,19.9345,17.869,16.8936,16.3957,15.004,14.321,14.005,56.75775093,24.22434434,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,4.4135,3.4381,0.998999999999999,3.0409,0.998999999999999
211078393,0.674961,19.3064,17.9418,16.2816,15.5218,15.1278,13.839,13.224,12.944,55.25168239,24.22628346,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.7846,3.0248,0.895,2.42,0.895
211078413,0.744127,18.2469,17.0017,15.5282,14.8193,14.4947,13.193,12.592,12.382,57.56366856,24.22656283,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.4276,2.7187,0.811,2.1824,0.811
211078565,0.760078,19.3078,18.0798,16.3784,15.5934,15.2016,13.845,13.263,12.979,55.73574627,24.22918854,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.7144,2.9294,0.866000000000001,2.4864,0.866000000000001
211078690,0.600421,19.053,17.7017,15.9818,15.0995,14.7274,13.228,12.565,12.331,56.8256117,24.23078466,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,3.9535,3.0712,0.897,2.6022,0.897
211078698,0.790898,19.9327,18.5938,16.8464,16.0078,15.6032,14.269,13.72,13.398,56.79600747,24.23082969,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9249,3.0863,0.871,2.586,0.871
211078780,0.660554,15.5205,14.5176,13.626,13.4078,13.1875,10.98,10.477,10.126,55.90292637,24.23213187,M1,3700,3.568,-1.44,9.69,-1.4,1.475,,0.983,1.172,0.959,2.019,4.02,0.613,0.225,0.137,,,,0.53,,,6.51,5.67,8.25,0.41,,0.496,M1V,V  ,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04,76.3762615801693,0.0992,0.175,1.96714583835023E+030,1.18667344608522E+030,6.33412028648301E+029,4.78172902761347E+029,2.1127,1.8945,0.854000000000001,1.1098,0.854000000000001
211078992,0.7067,18.3431,17.056,15.5136,14.8554,14.501,13.241,12.672,12.387,55.60960805,24.23536777,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.4877,2.8295,0.853999999999999,2.2006,0.853999999999999
211079106,0.792957,18.6369,17.3963,15.7409,15.037,14.688,13.441,12.828,12.517,55.1123978,24.23715651,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5999,2.896,0.924000000000001,2.3593,0.924000000000001
211079141,0.663976,18.5896,17.3791,15.7985,15.0093,14.6176,13.255,12.607,12.345,55.96570482,24.23764006,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5803,2.7911,0.91,2.3698,0.91
